City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kieta,PG,85.62,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
5,Bathsheba,BB,79.41,light rain,13.2167,-59.5167,Atlantis Hotel
7,Sao Filipe,CV,78.06,broken clouds,14.8961,-24.4956,Hotel Xaguate
9,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
13,Lorengau,PG,85.21,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
17,Rapid Valley,US,75.4,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
21,Keti Bandar,PK,81.03,scattered clouds,24.1447,67.4497,Haji laloo memon house
26,Kapaa,US,81.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Butaritari,KI,82.35,light rain,3.0707,172.7902,Isles Sunset Lodge
29,Nishihara,JP,82.45,few clouds,26.1842,127.7558,Minshuku Agaihama
33,Nizwa,OM,77.38,scattered clouds,22.9333,57.5333,Orient Apartments
34,Kourou,GF,82.45,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
35,Batticaloa,LK,82.08,overcast clouds,7.7102,81.6924,Grand Star Guest House
41,Altar,MX,89.56,clear sky,30.7,-111.8167,Hotel Maria Elena
43,Camopi,GF,79.21,overcast clouds,3.1655,-52.3158,La pousada
45,Jalu,LY,76.93,clear sky,29.0331,21.5482,صاحبة الفخامة
50,Irbil,IQ,79.43,clear sky,36.1926,44.0106,Erbil International Hotel
51,Diplo,PK,78.64,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
53,Salinas,US,75.99,smoke,36.6777,-121.6555,Laurel Inn & Conference Center
54,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
55,Aloleng,PH,82.63,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
61,Lodwar,KE,82.17,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
64,Kulhudhuffushi,MV,78.82,overcast clouds,6.6221,73.07,Haajy Guest House 1
69,Padang,ID,77.11,overcast clouds,-0.9492,100.3543,Mercure Padang
