City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Adrar,MR,20.5022,-10.0711,89.1,32,93,7.31,light rain
1,Puerto Ayora,EC,-0.7393,-90.3518,65.55,92,85,5.01,overcast clouds
2,Port Macquarie,AU,-31.4333,152.9167,62.89,61,4,7.31,clear sky
3,Colac,AU,-38.3333,143.5833,56.08,60,92,2.64,overcast clouds
4,Kieta,PG,-6.2167,155.6333,85.62,62,28,4.83,scattered clouds
5,Bathsheba,BB,13.2167,-59.5167,79.41,94,40,5.75,light rain
6,Letlhakane,BW,-21.4167,25.5833,68.74,30,0,8.77,clear sky
7,Sao Filipe,CV,14.8961,-24.4956,78.06,71,69,7.61,broken clouds
8,Hobart,AU,-42.8794,147.3294,57.25,74,75,8.05,broken clouds
9,Vaini,TO,-21.2,-175.2,77.16,78,75,8.05,broken clouds
10,Ushuaia,AR,-54.8,-68.3,44.26,61,0,6.91,clear sky
11,Bokhan,RU,53.153,103.7714,29.61,81,99,7.2,overcast clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,80,100,4.61,overcast clouds
13,Lorengau,PG,-2.0226,147.2712,85.21,67,27,9.08,scattered clouds
14,Albany,US,42.6001,-73.9662,51.67,65,100,8.5,overcast clouds
15,Chokurdakh,RU,70.6333,147.9167,21.94,73,70,9.24,broken clouds
16,Narsaq,GL,60.9167,-46.05,37.62,62,40,3.83,scattered clouds
17,Rapid Valley,US,44.0625,-103.1463,75.4,44,0,14.97,clear sky
18,Bilibino,RU,68.0546,166.4372,30.7,83,100,0.47,overcast clouds
19,Herzberg,DE,51.6869,13.2202,51.33,93,2,8.05,clear sky
20,New Norfolk,AU,-42.7826,147.0587,55.92,64,99,2.13,overcast clouds
21,Keti Bandar,PK,24.1447,67.4497,81.03,67,25,10.54,scattered clouds
22,Bluff,NZ,-46.6,168.3333,47.8,53,95,20.67,overcast clouds
23,Kishi,NG,9.0833,3.85,72.43,93,71,3.18,light rain
24,Thompson,CA,55.7435,-97.8558,69.96,40,40,17.27,scattered clouds
25,Rikitea,PF,-23.1203,-134.9692,74.82,63,8,3.83,clear sky
26,Kapaa,US,22.0752,-159.319,81.12,79,100,18.41,overcast clouds
27,Butaritari,KI,3.0707,172.7902,82.35,75,66,16.51,light rain
28,Mitsamiouli,KM,-11.3847,43.2844,73.62,76,0,3.87,clear sky
29,Nishihara,JP,26.1842,127.7558,82.45,74,20,10.36,few clouds
30,Ilulissat,GL,69.2167,-51.1,30.22,93,75,4.61,broken clouds
31,Torbay,CA,47.6666,-52.7314,45.75,76,75,6.91,broken clouds
32,Bredasdorp,ZA,-34.5322,20.0403,52.32,92,16,6.2,few clouds
33,Nizwa,OM,22.9333,57.5333,77.38,70,33,3.02,scattered clouds
34,Kourou,GF,5.1552,-52.6478,82.45,87,92,7.4,overcast clouds
35,Batticaloa,LK,7.7102,81.6924,82.08,64,99,18.3,overcast clouds
36,Port Elizabeth,ZA,-33.918,25.5701,62.89,88,0,19.57,clear sky
37,Magadan,RU,59.5667,150.8,36.54,54,100,12.03,overcast clouds
38,Boca Del Monte,MX,19.15,-96.8167,65.39,97,56,2.39,broken clouds
39,Llanes,ES,43.4198,-4.7549,64.54,79,100,7.23,overcast clouds
40,Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,10.36,clear sky
41,Altar,MX,30.7,-111.8167,89.56,23,0,3.74,clear sky
42,Westport,US,41.1415,-73.3579,55.44,54,100,14.97,overcast clouds
43,Camopi,GF,3.1655,-52.3158,79.21,70,89,4.21,overcast clouds
44,Seoul,KR,37.5683,126.9778,71.04,100,100,4.61,light rain
